Cate,Name,Stat,Nd,Vd,Formula,A0,A1,A2,A3,A4,A5,0.54607,n_e,V_e,0.47999,n_F',0.64385,n_C',0.48613,n_F,0.65627,n_C,,,,,,,,,,,,,,
CDGM,H-LAK4L,Stan,1.640002,60.213997,Schott,2.65E+00,-1.38E-02,1.57E-02,9.83E-05,2.21E-05,-1.07E-06,,1.642537,60.014,,1.6479676,,1.6372612,,1.647367939,,1.636738993,,,,,,,,,,,,,,
HOYA,LACL1,Obso,1.640851,56.835319,Schott,2.65E+00,-1.22E-02,1.57E-02,5.13E-04,-4.03E-05,2.75E-06,,1.643541,56.596,,1.6493360,,1.6379653,,1.648694477,,1.637418722,,,,,,,,,,,,,,
CORNING,C41-60,Stan,1.640495,60.130957,Schott,2.65E+00,-1.12E-02,1.61E-02,6.28E-05,2.73E-05,-1.29E-06,,1.643035,59.877,,1.6485040,,1.6377646,,1.647898655,,1.637246826,,,,,,,,,,,,,,
SUMITA,LAKN13,Stan,1.641,56.842465,Schott,2.65E+00,-1.04E-02,1.65E-02,2.65E-04,3.02E-06,1.04E-07,,1.643688,56.566,,1.6495049,,1.6381255,,1.648859602,,1.637582652,,,,,,,,,,,,,,
HOYA,BAF9,Obso,1.643278,47.941673,Schott,2.65E+00,-1.01E-02,1.83E-02,7.01E-04,-3.70E-05,3.15E-06,,1.646469,47.643,,1.6534725,,1.6399034,,1.652689338,,1.639271201,,,,,,,,,,,,,,
SUMITA,K-BAF9,Stan,1.643284,47.760501,Schott,2.65E+00,-1.10E-02,1.90E-02,4.08E-04,9.93E-06,9.32E-07,,1.646484,47.465,,1.6535150,,1.6398947,,1.652727685,,1.639258517,,,,,,,,,,,,,,
OHARA,BAM9,Obso,1.643279,47.850606,Schott,2.64E+00,-9.44E-03,1.89E-02,5.04E-04,-6.93E-06,1.55E-06,,1.646476,47.546,,1.6534976,,1.6399009,,1.652711865,,1.639268158,,,,,,,,,,,,,,
SUMITA,BAF9,Stan,1.643287,47.722384,Schott,2.64E+00,-9.30E-03,1.93E-02,4.15E-04,1.69E-06,1.38E-06,,1.646492,47.424,,1.6535297,,1.6398975,,1.652742215,,1.639262219,,,,,,,,,,,,,,
OHARA,BPH35,Obso,1.644496,40.817749,Schott,2.64E+00,-1.30E-02,2.13E-02,7.42E-04,-1.98E-05,3.07E-06,,1.648245,40.578,,1.6565109,,1.6405357,,1.655583507,,1.639793653,,,,,,,,,,,,,,
HOYA,FD12,Obso,1.648308,33.793909,Schott,2.64E+00,-1.02E-02,2.38E-02,1.53E-03,-9.59E-05,9.58E-06,,1.652850,33.540,,1.6630473,,1.6435827,,1.661891973,,1.642707487,,,,,,,,,,,,,,
HOYA,E-FD2,Stan,1.64769,33.840565,Schott,2.64E+00,-1.16E-02,2.31E-02,1.73E-03,-1.40E-04,1.39E-05,,1.652218,33.583,,1.6623976,,1.6429765,,1.661242367,,1.642102591,,,,,,,,,,,,,,
OHARA,BSM18,Obso,1.638539,55.384768,Schott,2.64E+00,-1.10E-02,1.60E-02,5.35E-04,-3.57E-05,2.60E-06,,1.641286,55.102,,1.6472445,,1.6356064,,1.646582542,,1.635053222,,,,,,,,,,,,,,
SUMITA,SK18,Stan,1.638541,55.494577,Schott,2.64E+00,-1.08E-02,1.61E-02,5.01E-04,-3.07E-05,2.25E-06,,1.641283,55.213,,1.6472288,,1.6356141,,1.64656843,,1.63506188,,,,,,,,,,,,,,
SUMITA,K-SK18,Stan,1.638542,55.500882,Schott,2.64E+00,-1.08E-02,1.62E-02,4.67E-04,-2.54E-05,1.97E-06,,1.641283,55.219,,1.6472282,,1.6356148,,1.646567839,,1.635062585,,,,,,,,,,,,,,
NHG,H-ZK11,Stan,1.638536,55.429194,Schott,2.64E+00,-1.02E-02,1.59E-02,5.78E-04,-3.90E-05,2.36E-06,,1.641282,55.138,,1.6472399,,1.6356095,,1.646578287,,1.635058259,,,,,,,,,,,,,,
CDGM,H-ZF1A,Stan,1.647695,33.900015,Schott,2.64E+00,-1.09E-02,2.45E-02,1.26E-03,-7.29E-05,1.07E-05,,1.652214,33.643,,1.6623738,,1.6429874,,1.661220084,,1.642113714,,,,,,,,,,,,,,
HOYA,ADF355,Obso,1.6445,40.762285,Schott,2.64E+00,-1.18E-02,2.42E-02,-2.75E-04,1.41E-04,-6.26E-06,,1.648252,40.526,,1.6565275,,1.6405316,,1.655598094,,1.639786647,,,,,,,,,,,,,,
NHG,H-ZF1,Stan,1.647691,33.835256,Schott,2.64E+00,-1.06E-02,2.48E-02,1.18E-03,-5.76E-05,9.53E-06,,1.652219,33.577,,1.6624006,,1.6429763,,1.661244385,,1.64210156,,,,,,,,,,,,,,
CDGM,H-ZK11,Stan,1.638543,55.471523,Schott,2.64E+00,-1.02E-02,1.70E-02,2.14E-04,7.44E-06,4.36E-07,,1.641285,55.196,,1.6472300,,1.6356116,,1.646569605,,1.635058249,,,,,,,,,,,,,,
SUMITA,K-SK18RH,Stan,1.638538,55.480394,Schott,2.64E+00,-9.98E-03,1.72E-02,1.16E-04,3.42E-05,-1.86E-06,,1.641280,55.194,,1.6472301,,1.6356114,,1.646568903,,1.635059476,,,,,,,,,,,,,,
LZOS,LZ_TF1,Stan,1.64766,33.843147,Schott,2.64E+00,-9.16E-03,2.45E-02,1.37E-03,-7.89E-05,8.69E-06,,1.652193,33.593,,1.6623573,,1.6429427,,1.661206354,,1.64206893,,,,,,,,,,,,,,
HOYA,BACD18,Stan,1.638542,55.449612,Schott,2.64E+00,-9.76E-03,1.71E-02,2.26E-04,3.09E-06,4.58E-07,,1.641288,55.183,,1.6472288,,1.6356077,,1.646569704,,1.635053804,,,,,,,,,,,,,,
SUMITA,SF12,Stan,1.648314,33.769489,Schott,2.64E+00,-8.32E-03,2.63E-02,8.41E-04,-7.46E-06,5.44E-06,,1.652859,33.523,,1.6630528,,1.6435776,,1.661897926,,1.642699398,,,,,,,,,,,,,,
CORNING,C39-56,Stan,1.638505,55.504447,Schott,2.64E+00,-9.18E-03,1.72E-02,1.85E-04,1.63E-05,-5.81E-07,,1.641246,55.216,,1.6471937,,1.6355803,,1.646533085,,1.635029243,,,,,,,,,,,,,,
CDGM,H-ZF1,Stan,1.647693,33.842283,Schott,2.64E+00,-9.70E-03,2.56E-02,1.01E-03,-4.25E-05,9.06E-06,,1.652221,33.589,,1.6623916,,1.6429741,,1.661237224,,1.642098319,,,,,,,,,,,,,,
OHARA,PBM22,Obso,1.647689,33.802937,Schott,2.64E+00,-8.95E-03,2.52E-02,1.11E-03,-3.79E-05,6.38E-06,,1.652226,33.553,,1.6624043,,1.6429657,,1.661251511,,1.642090458,,,,,,,,,,,,,,
SUMITA,SF2,Stan,1.647692,33.87924,Schott,2.64E+00,-8.84E-03,2.55E-02,1.01E-03,-2.72E-05,6.11E-06,,1.652219,33.630,,1.6623710,,1.6429771,,1.661220995,,1.642103008,,,,,,,,,,,,,,
CDGM,ZF1,Stan,1.647693,33.836872,Schott,2.64E+00,-8.84E-03,2.56E-02,9.65E-04,-1.83E-05,5.56E-06,,1.652225,33.587,,1.6623927,,1.6429737,,1.661240703,,1.642098741,,,,,,,,,,,,,,
HOYA,FD2,Obso,1.647693,33.836872,Schott,2.64E+00,-8.84E-03,2.56E-02,9.65E-04,-1.83E-05,5.56E-06,,1.652225,33.587,,1.6623926,,1.6429736,,1.661240672,,1.64209871,,,,,,,,,,,,,,
SUMITA,SK18RH,Stan,1.63854,55.493235,Schott,2.64E+00,-9.18E-03,1.82E-02,-1.86E-04,7.49E-05,-3.88E-06,,1.641281,55.211,,1.6472278,,1.6356126,,1.646566851,,1.635060041,,,,,,,,,,,,,,
NHG,ZF1,Stan,1.647696,33.838949,Schott,2.63E+00,-8.34E-03,2.66E-02,6.67E-04,2.26E-05,3.52E-06,,1.652228,33.592,,1.6623907,,1.6429742,,1.661239114,,1.642098229,,,,,,,,,,,,,,
HIKARI,E-SF2,Obso,1.647689,33.799707,Schott,2.63E+00,-9.21E-03,2.74E-02,2.25E-04,9.98E-05,1.76E-08,,1.652219,33.540,,1.6624169,,1.6429707,,1.66125764,,1.64209475,,,,,,,,,,,,,,
NIKON-HIKARI,E-SF2,Obso,1.647689,33.799707,Schott,2.63E+00,-9.21E-03,2.74E-02,2.25E-04,9.98E-05,1.76E-08,,1.652219,33.540,,1.6624169,,1.6429707,,1.66125764,,1.64209475,,,,,,,,,,,,,,
CORNING,C48-34,Stan,1.647992,33.943274,Schott,2.63E+00,-7.90E-03,2.78E-02,1.37E-04,1.22E-04,-3.36E-06,,1.652510,33.692,,1.6626513,,1.6432844,,1.661501794,,1.642411038,,,,,,,,,,,,,,
CDGM,ZBAF2,Obso,1.639616,48.230454,Schott,2.63E+00,-8.73E-03,1.91E-02,4.49E-04,-1.75E-05,2.86E-06,,1.642770,47.940,,1.6496819,,1.6362742,,1.648909583,,1.63564772,,,,,,,,,,,,,,
HOYA,BAF12,Obso,1.639302,45.070071,Schott,2.63E+00,-9.45E-03,1.89E-02,8.66E-04,-5.92E-05,5.28E-06,,1.642672,44.769,,1.6501065,,1.6357511,,1.649272674,,1.635087833,,,,,,,,,,,,,,
OHARA,BAM12,Obso,1.6393,44.878032,Schott,2.63E+00,-9.09E-03,1.96E-02,6.70E-04,-2.51E-05,3.05E-06,,1.642685,44.578,,1.6501523,,1.6357352,,1.649314694,,1.635069183,,,,,,,,,,,,,,
HIKARI,E-BAF12,Obso,1.6393,44.882939,Schott,2.63E+00,-1.01E-02,2.03E-02,3.75E-04,1.46E-05,1.37E-06,,1.642683,44.598,,1.6501364,,1.6357259,,1.649300237,,1.635056288,,,,,,,,,,,,,,
NIKON-HIKARI,E-BAF12,Obso,1.6393,44.882939,Schott,2.63E+00,-1.01E-02,2.03E-02,3.75E-04,1.46E-05,1.37E-06,,1.642683,44.598,,1.6501364,,1.6357259,,1.649300237,,1.635056288,,,,,,,,,,,,,,
SUMITA,BAF12,Stan,1.639302,44.984258,Schott,2.63E+00,-8.18E-03,2.12E-02,1.53E-04,4.35E-05,-3.17E-07,,1.642678,44.694,,1.6501181,,1.6357385,,1.649283598,,1.63507169,,,,,,,,,,,,,,
SUMITA,K-LAFK60,Stan,1.63246,63.766562,Schott,2.62E+00,-1.03E-02,1.44E-02,2.40E-04,-1.04E-06,1.02E-07,,1.634826,63.474,,1.6399220,,1.6299206,,1.63935814,,1.629439622,,,,,,,,,,,,,,
SUMITA,LAFK60,Stan,1.632462,63.780403,Schott,2.62E+00,-1.00E-02,1.48E-02,1.22E-04,1.54E-05,-7.26E-07,,1.634827,63.490,,1.6399212,,1.6299223,,1.639357486,,1.629441088,,,,,,,,,,,,,,
CORNING,C38-42,Stan,1.637752,42.433862,Schott,2.62E+00,-1.28E-02,2.10E-02,4.92E-04,2.93E-06,1.03E-06,,1.641326,42.220,,1.6491481,,1.6339580,,1.648274346,,1.633244789,,,,,,,,,,,,,,
NHG,H-TF7,Obso,1.63775,42.420696,Schott,2.62E+00,-1.32E-02,2.15E-02,2.97E-04,3.19E-05,-3.50E-07,,1.641324,42.210,,1.6491455,,1.6339520,,1.64827136,,1.633237187,,,,,,,,,,,,,,
HIKARI,SF12,Obso,1.648311,33.769773,Schott,2.62E+00,2.38E-03,3.56E-02,-1.77E-03,3.45E-04,-1.28E-05,,1.652856,33.522,,1.6630486,,1.6435729,,1.661892973,,1.642694683,,,,,,,,,,,,,,
NIKON-HIKARI,SF12,Obso,1.648311,33.769773,Schott,2.62E+00,2.38E-03,3.56E-02,-1.77E-03,3.45E-04,-1.28E-05,,1.652856,33.522,,1.6630486,,1.6435729,,1.661892973,,1.642694683,,,,,,,,,,,,,,
HOYA,E-FD7,Spec,1.6398,34.570581,Schott,2.62E+00,-1.14E-02,2.25E-02,1.55E-03,-1.18E-04,1.24E-05,,1.644179,34.307,,1.6540151,,1.6352381,,1.652899104,,1.634391729,,,,,,,,,,,,,,
SUMITA,SF7,Stan,1.639801,34.602409,Schott,2.61E+00,-9.89E-03,2.33E-02,1.38E-03,-8.71E-05,8.88E-06,,1.644182,34.350,,1.6539898,,1.6352363,,1.652880116,,1.634389722,,,,,,,,,,,,,,
HOYA,FD7,Obso,1.639803,34.568909,Schott,2.61E+00,-9.86E-03,2.36E-02,1.23E-03,-5.42E-05,6.64E-06,,1.644186,34.313,,1.6540105,,1.6352368,,1.652898462,,1.634390105,,,,,,,,,,,,,,
CDGM,H-F51,Stan,1.639803,34.469653,Schott,2.61E+00,-1.06E-02,2.45E-02,9.34E-04,-2.62E-05,7.65E-06,,1.644193,34.208,,1.6540580,,1.6352261,,1.652937707,,1.634376052,,,,,,,,,,,,,,
HIKARI,SF2,Obso,1.64769,33.841849,Schott,2.61E+00,7.29E-03,3.84E-02,-2.46E-03,4.25E-04,-1.67E-05,,1.652224,33.592,,1.6623828,,1.6429668,,1.661231573,,1.642092518,,,,,,,,,,,,,,
NIKON-HIKARI,SF2,Obso,1.64769,33.841849,Schott,2.61E+00,7.29E-03,3.84E-02,-2.46E-03,4.25E-04,-1.67E-05,,1.652224,33.592,,1.6623828,,1.6429668,,1.661231573,,1.642092518,,,,,,,,,,,,,,
OHARA,PBM27,Obso,1.639799,34.477127,Schott,2.61E+00,-8.73E-03,2.49E-02,8.88E-04,-9.26E-06,4.50E-06,,1.644194,34.223,,1.6540434,,1.6352199,,1.652928151,,1.634370633,,,,,,,,,,,,,,
SUMITA,K-LAFK60(M),Stan,1.628479,63.255108,Schott,2.61E+00,-1.02E-02,1.45E-02,2.09E-04,2.88E-06,-9.06E-08,,1.630849,62.970,,1.6359523,,1.6259340,,1.635387673,,1.625451901,,,,,,,,,,,,,,
LZOS,LZ_TK17,Stan,1.627983,59.126204,Schott,2.61E+00,-1.14E-02,1.29E-02,1.16E-03,-1.45E-04,8.28E-06,,1.630520,58.870,,1.6359765,,1.6252661,,1.635374091,,1.624752866,,,,,,,,,,,,,,
HOYA,F6,Obso,1.636356,35.340304,Schott,2.61E+00,-9.73E-03,2.23E-02,1.51E-03,-1.11E-04,9.75E-06,,1.640624,35.084,,1.6501653,,1.6319056,,1.649087102,,1.631080283,,,,,,,,,,,,,,
SUMITA,F6,Stan,1.636361,35.351775,Schott,2.60E+00,-9.19E-03,2.35E-02,1.05E-03,-3.89E-05,5.79E-06,,1.640626,35.092,,1.6501692,,1.6319138,,1.649089668,,1.631088543,,,,,,,,,,,,,,
OHARA,PBM6,Obso,1.636358,35.376536,Schott,2.60E+00,-8.95E-03,2.38E-02,9.71E-04,-3.07E-05,5.44E-06,,1.640620,35.120,,1.6501520,,1.6319110,,1.649074098,,1.631085666,,,,,,,,,,,,,,
CORNING,C37-35,Obso,1.636493,35.322642,Schott,2.60E+00,-8.51E-03,2.49E-02,6.46E-04,1.55E-05,2.93E-06,,1.640762,35.072,,1.6503042,,1.6320341,,1.649225402,,1.631205693,,,,,,,,,,,,,,
CDGM,F7,Stan,1.636365,35.386204,Schott,2.60E+00,-8.47E-03,2.47E-02,7.45E-04,-4.85E-06,4.26E-06,,1.640626,35.137,,1.6501448,,1.6319124,,1.649069052,,1.631085344,,,,,,,,,,,,,,
HIKARI,E-SF7,Obso,1.6398,34.563661,Schott,2.60E+00,-2.28E-03,3.13E-02,-1.11E-03,2.84E-04,-1.21E-05,,1.644182,34.305,,1.6540116,,1.6352334,,1.652897481,,1.634386396,,,,,,,,,,,,,,
NIKON-HIKARI,E-SF7,Obso,1.6398,34.563661,Schott,2.60E+00,-2.28E-03,3.13E-02,-1.11E-03,2.84E-04,-1.21E-05,,1.644182,34.305,,1.6540116,,1.6352334,,1.652897481,,1.634386396,,,,,,,,,,,,,,
HIKARI,SF7,Obso,1.6398,34.563664,Schott,2.60E+00,-2.28E-03,3.13E-02,-1.11E-03,2.84E-04,-1.21E-05,,1.644182,34.305,,1.6540116,,1.6352334,,1.652897448,,1.634386366,,,,,,,,,,,,,,
NIKON-HIKARI,SF7,Obso,1.6398,34.563664,Schott,2.60E+00,-2.28E-03,3.13E-02,-1.11E-03,2.84E-04,-1.21E-05,,1.644182,34.305,,1.6540116,,1.6352334,,1.652897448,,1.634386366,,,,,,,,,,,,,,
LZOS,LZ_BF24,Stan,1.634551,36.733283,Schott,2.60E+00,-9.07E-03,2.21E-02,1.25E-03,-8.74E-05,8.50E-06,,1.638647,36.470,,1.6477834,,1.6302720,,1.646752146,,1.629477301,,,,,,,,,,,,,,
CDGM,H-ZK10L,Stan,1.622802,56.951885,Schott,2.60E+00,-1.77E-02,1.11E-02,1.32E-03,-1.08E-04,4.55E-06,,1.625405,56.667,,1.6310549,,1.6200183,,1.630426988,,1.619491237,,,,,,,,,,,,,,
HIKARI,SK15,Obso,1.62299,58.225167,Schott,2.60E+00,-1.33E-02,1.30E-02,9.47E-04,-9.28E-05,5.07E-06,,1.625541,57.956,,1.6310511,,1.6202577,,1.6304406,,1.619740769,,,,,,,,,,,,,,
NIKON-HIKARI,SK15,Obso,1.62299,58.225167,Schott,2.60E+00,-1.33E-02,1.30E-02,9.47E-04,-9.28E-05,5.07E-06,,1.625541,57.956,,1.6310511,,1.6202577,,1.6304406,,1.619740769,,,,,,,,,,,,,,
HIKARI,E-SK15,Obso,1.62299,58.225162,Schott,2.60E+00,-1.33E-02,1.30E-02,9.47E-04,-9.28E-05,5.07E-06,,1.625541,57.956,,1.6310510,,1.6202576,,1.630440545,,1.619740713,,,,,,,,,,,,,,
NIKON-HIKARI,E-SK15,Obso,1.62299,58.225162,Schott,2.60E+00,-1.33E-02,1.30E-02,9.47E-04,-9.28E-05,5.07E-06,,1.625541,57.956,,1.6310510,,1.6202576,,1.630440545,,1.619740713,,,,,,,,,,,,,,
NHG,H-ZK21,Stan,1.622987,58.071717,Schott,2.59E+00,-1.10E-02,1.39E-02,8.21E-04,-8.84E-05,5.20E-06,,1.625547,57.804,,1.6310693,,1.6202475,,1.630458165,,1.619730113,,,,,,,,,,,,,,
HIKARI,SK16,Obso,1.620409,60.280874,Schott,2.59E+00,-1.54E-02,1.02E-02,1.58E-03,-1.88E-04,1.01E-05,,1.622865,60.020,,1.6281522,,1.6177745,,1.627567653,,1.61727553,,,,,,,,,,,,,,
NIKON-HIKARI,SK16,Obso,1.620409,60.280874,Schott,2.59E+00,-1.54E-02,1.02E-02,1.58E-03,-1.88E-04,1.01E-05,,1.622865,60.020,,1.6281522,,1.6177745,,1.627567653,,1.61727553,,,,,,,,,,,,,,
SUMITA,K-SK15,Stan,1.622987,58.150418,Schott,2.59E+00,-1.06E-02,1.44E-02,6.32E-04,-5.79E-05,3.42E-06,,1.625542,57.877,,1.6310604,,1.6202522,,1.630449361,,1.619735833,,,,,,,,,,,,,,
HIKARI,SSK2,Obso,1.6223,53.057571,Schott,2.59E+00,-1.43E-02,1.24E-02,1.54E-03,-1.59E-04,8.55E-06,,1.625093,52.762,,1.6311784,,1.6193310,,1.630501333,,1.61877238,,,,,,,,,,,,,,
NIKON-HIKARI,SSK2,Obso,1.6223,53.057571,Schott,2.59E+00,-1.43E-02,1.24E-02,1.54E-03,-1.59E-04,8.55E-06,,1.625093,52.762,,1.6311784,,1.6193310,,1.630501333,,1.61877238,,,,,,,,,,,,,,
SUMITA,SK15,Stan,1.622988,58.151099,Schott,2.59E+00,-1.02E-02,1.49E-02,5.04E-04,-4.16E-05,2.65E-06,,1.625544,57.880,,1.6310603,,1.6202528,,1.630449497,,1.619736066,,,,,,,,,,,,,,
HOYA,MP-BACD15,Pref,1.622625,58.164014,Schott,2.59E+00,-1.26E-02,1.52E-02,3.00E-04,-1.13E-05,9.15E-07,,1.625179,57.954,,1.6306602,,1.6198727,,1.630054598,,1.619349795,,,,,,,,,,,,,,
HOYA,M-BACD15,Pref,1.622625,58.164014,Schott,2.59E+00,-1.26E-02,1.52E-02,3.00E-04,-1.13E-05,9.15E-07,,1.625179,57.954,,1.6306602,,1.6198727,,1.630054598,,1.619349795,,,,,,,,,,,,,,
NHG,D-ZK21,Obso,1.622625,58.163991,Schott,2.59E+00,-1.26E-02,1.52E-02,3.00E-04,-1.13E-05,9.15E-07,,1.625179,57.954,,1.6306601,,1.6198726,,1.630054511,,1.619349706,,,,,,,,,,,,,,
HOYA,E-BACD10,Spec,1.6228,56.910861,Schott,2.59E+00,-1.06E-02,1.45E-02,6.75E-04,-5.53E-05,3.01E-06,,1.625409,56.624,,1.6310595,,1.6200145,,1.630432878,,1.619489283,,,,,,,,,,,,,,
OHARA,BSM15,Obso,1.622992,58.143312,Schott,2.59E+00,-9.89E-03,1.57E-02,2.12E-04,5.76E-06,-3.13E-08,,1.625546,57.868,,1.6310665,,1.6202566,,1.630454611,,1.619739686,,,,,,,,,,,,,,
CDGM,H-ZK21,Stan,1.622995,58.154171,Schott,2.59E+00,-1.03E-02,1.59E-02,1.59E-04,8.98E-06,-9.77E-08,,1.625550,57.904,,1.6310560,,1.6202527,,1.630446436,,1.619733459,,,,,,,,,,,,,,
NHG,H-ZK10N,Stan,1.622797,56.942732,Schott,2.59E+00,-1.02E-02,1.47E-02,6.73E-04,-6.20E-05,3.70E-06,,1.625406,56.661,,1.6310491,,1.6200115,,1.630423595,,1.619486173,,,,,,,,,,,,,,
CORNING,C23-58,Stan,1.623004,58.102071,Schott,2.59E+00,-1.02E-02,1.65E-02,-9.56E-05,5.02E-05,-2.31E-06,,1.625559,57.845,,1.6310745,,1.6202602,,1.63046313,,1.619740396,,,,,,,,,,,,,,
HIKARI,E-SK10,Obso,1.622799,57.035463,Schott,2.59E+00,-1.00E-02,1.56E-02,3.29E-04,-9.85E-06,7.83E-07,,1.625403,56.762,,1.6310322,,1.6200143,,1.630408056,,1.619488386,,,,,,,,,,,,,,
NIKON-HIKARI,E-SK10,Obso,1.622799,57.035463,Schott,2.59E+00,-1.00E-02,1.56E-02,3.29E-04,-9.85E-06,7.83E-07,,1.625403,56.762,,1.6310322,,1.6200143,,1.630408056,,1.619488386,,,,,,,,,,,,,,
OHARA,BSM10,Obso,1.622799,57.063643,Schott,2.59E+00,-9.88E-03,1.56E-02,3.66E-04,-1.83E-05,1.46E-06,,1.625401,56.788,,1.6310293,,1.6200163,,1.630405212,,1.619490931,,,,,,,,,,,,,,
HOYA,BACD10,Obso,1.622799,56.906336,Schott,2.59E+00,-9.59E-03,1.54E-02,4.54E-04,-2.94E-05,1.89E-06,,1.625409,56.624,,1.6310570,,1.6200120,,1.630430764,,1.619486309,,,,,,,,,,,,,,
SUMITA,SK10,Stan,1.622799,56.869333,Schott,2.59E+00,-9.46E-03,1.61E-02,2.00E-04,7.67E-06,7.83E-09,,1.625410,56.591,,1.6310597,,1.6200082,,1.63043287,,1.619481293,,,,,,,,,,,,,,
NHG,H-ZK10,Stan,1.622089,56.661542,Schott,2.59E+00,-1.01E-02,1.49E-02,6.18E-04,-5.26E-05,3.14E-06,,1.624707,56.380,,1.6303738,,1.6192935,,1.629745529,,1.618766325,,,,,,,,,,,,,,
HOYA,PCD53,Obso,1.620139,63.516754,Schott,2.59E+00,-1.04E-02,1.25E-02,7.88E-04,-8.47E-05,4.50E-06,,1.622470,63.223,,1.6274863,,1.6176407,,1.626932155,,1.617168623,,,,,,,,,,,,,,
CORNING,C23-57,Obso,1.622801,56.922436,Schott,2.59E+00,-8.72E-03,1.68E-02,-3.79E-05,4.42E-05,-2.10E-06,,1.625409,56.639,,1.6310559,,1.6200139,,1.630429096,,1.619487703,,,,,,,,,,,,,,
LZOS,LZ_TK20,Stan,1.622089,56.631768,Schott,2.59E+00,-9.66E-03,1.50E-02,6.33E-04,-5.94E-05,3.65E-06,,1.624709,56.353,,1.6303765,,1.6192909,,1.629748458,,1.618763489,,,,,,,,,,,,,,
NHG,H-ZK9,Stan,1.620405,254.668375,Schott,2.59E+00,-1.19E-02,1.32E-02,7.83E-04,-8.48E-05,4.75E-06,,1.622862,60.051,,1.6281386,,1.6177663,,1.627556043,,1.617266408,,,,,,,,,,,,,,
CDGM,D-ZPK1A,Stan,1.620867,63.876075,Schott,2.59E+00,-8.36E-03,1.47E-02,6.51E-05,2.04E-05,-9.57E-07,,1.623186,63.564,,1.6281868,,1.6183827,,1.627633016,,1.617913001,,,,,,,,,,,,,,
HOYA,BACD15,Stan,1.622994,58.122326,Schott,2.59E+00,-8.04E-03,1.81E-02,-4.60E-04,8.85E-05,-3.75E-06,,1.625550,57.872,,1.6310584,,1.6202492,,1.630448041,,1.619729205,,,,,,,,,,,,,,
NHG,H-PK65,Stan,1.619961,63.775458,Schott,2.59E+00,-9.70E-03,1.26E-02,7.39E-04,-7.81E-05,4.11E-06,,1.622282,63.470,,1.6272803,,1.6174760,,1.626728027,,1.617006892,,,,,,,,,,,,,,
HOYA,BACD16,Stan,1.620409,60.343849,Schott,2.59E+00,-1.19E-02,1.40E-02,4.90E-04,-3.91E-05,2.26E-06,,1.622862,60.104,,1.6281326,,1.6177696,,1.627550357,,1.617268976,,,,,,,,,,,,,,
OHARA,BSM16,Obso,1.62041,60.271913,Schott,2.59E+00,-1.14E-02,1.39E-02,5.17E-04,-3.77E-05,2.06E-06,,1.622866,60.003,,1.6281569,,1.6177764,,1.627571356,,1.617277678,,,,,,,,,,,,,,
OHARA,BSM16C,Obso,1.62041,60.254106,Schott,2.59E+00,-1.14E-02,1.39E-02,5.03E-04,-3.61E-05,1.99E-06,,1.622866,59.987,,1.6281581,,1.6177747,,1.627572473,,1.617275761,,,,,,,,,,,,,,
HIKARI,E-SK16,Obso,1.620411,60.291663,Schott,2.59E+00,-1.15E-02,1.41E-02,4.40E-04,-2.68E-05,1.51E-06,,1.622865,60.026,,1.6281531,,1.6177766,,1.627567878,,1.617277561,,,,,,,,,,,,,,
NIKON-HIKARI,E-SK16,Obso,1.620411,60.291663,Schott,2.59E+00,-1.15E-02,1.41E-02,4.40E-04,-2.68E-05,1.51E-06,,1.622865,60.026,,1.6281531,,1.6177766,,1.627567878,,1.617277561,,,,,,,,,,,,,,
SUMITA,K-SK16RH,Stan,1.620407,60.272646,Schott,2.59E+00,-1.17E-02,1.45E-02,3.29E-04,-1.58E-05,1.10E-06,,1.622863,60.034,,1.6281396,,1.6177644,,1.627556319,,1.617262819,,,,,,,,,,,,,,
CORNING,C24-47,Obso,1.624,46.940278,Schott,2.58E+00,-1.15E-02,1.78E-02,6.73E-04,-3.49E-05,3.06E-06,,1.627162,46.674,,1.6340839,,1.6206468,,1.633310593,,1.620016891,,,,,,,,,,,,,,
SUMITA,SK16RH,Stan,1.620408,60.280273,Schott,2.58E+00,-1.15E-02,1.49E-02,2.17E-04,-2.45E-07,3.11E-07,,1.622863,60.043,,1.6281381,,1.6177645,,1.627554952,,1.617262746,,,,,,,,,,,,,,
LZOS,LZ_BF11,Stan,1.622301,53.066034,Schott,2.58E+00,-9.19E-03,1.58E-02,6.92E-04,-5.75E-05,3.70E-06,,1.625095,52.769,,1.6311772,,1.6193314,,1.630500749,,1.618773657,,,,,,,,,,,,,,
HOYA,PCD40,Pref,1.619966,63.879966,Schott,2.58E+00,-9.05E-03,1.43E-02,1.71E-04,4.96E-06,-1.29E-07,,1.622282,63.579,,1.6272708,,1.6174832,,1.62671872,,1.617013398,,,,,,,,,,,,,,
SUMITA,SK16,Stan,1.620408,60.306363,Schott,2.58E+00,-1.07E-02,1.49E-02,2.00E-04,4.56E-06,-1.23E-07,,1.622862,60.052,,1.6281427,,1.6177706,,1.62755854,,1.617270787,,,,,,,,,,,,,,
CDGM,H-ZK9A,Stan,1.620412,60.368242,Schott,2.58E+00,-1.11E-02,1.54E-02,2.64E-05,2.77E-05,-1.24E-06,,1.622863,60.134,,1.6281290,,1.6177711,,1.627546775,,1.617269501,,,,,,,,,,,,,,
