Cate,Name,Stat,Nd,Vd,Formula,A0,A1,A2,A3,A4,A5,0.54607,n_e,V_e,0.47999,n_F',0.64385,n_C',0.48613,n_F,0.65627,n_C,,,,,,,,,,,,,,
HOYA,TAFD31,Obso,1.922501,35.946005,Schott,3.57E+00,-1.31E-02,4.17E-02,1.35E-03,-3.69E-05,7.80E-06,,1.928591,35.708,,1.9421329,,1.9161280,,1.940607108,,1.914943154,,,,,,,,,,,,,,
HOYA,FDS18-W,Pref,1.945945,17.984257,Schott,3.56E+00,-2.54E-02,5.84E-02,9.23E-03,-9.55E-04,1.18E-04,,1.958249,17.838,,1.9872166,,1.9334983,,1.983831519,,1.931232032,,,,,,,,,,,,,,
HOYA,FDS18,Stan,1.945945,17.984257,Schott,3.56E+00,-2.54E-02,5.84E-02,9.23E-03,-9.55E-04,1.18E-04,,1.958249,17.838,,1.9872166,,1.9334983,,1.983831519,,1.931232032,,,,,,,,,,,,,,
NHG,H-ZF75,Obso,1.945945,17.984257,Schott,3.56E+00,-2.54E-02,5.84E-02,9.23E-03,-9.55E-04,1.18E-04,,1.958249,17.838,,1.9872166,,1.9334983,,1.983831519,,1.931232032,,,,,,,,,,,,,,
NHG,H-ZF75A,Stan,1.945948,17.988963,Schott,3.55E+00,-1.94E-02,6.82E-02,5.85E-03,-4.22E-04,8.66E-05,,1.958243,17.842,,1.9872121,,1.9335057,,1.983823991,,1.931238044,,,,,,,,,,,,,,
HOYA,TAFD35,Pref,1.910822,35.250008,Schott,3.53E+00,-1.48E-02,3.97E-02,1.80E-03,-8.93E-05,1.14E-05,,1.916948,35.006,,1.9306174,,1.9044231,,1.929073968,,1.903234609,,,,,,,,,,,,,,
SUMITA,K-LASFN23,Stan,1.911,35.219488,Schott,3.53E+00,-1.46E-02,4.04E-02,1.55E-03,-4.57E-05,9.10E-06,,1.917130,34.971,,1.9308232,,1.9045980,,1.929275871,,1.903409083,,,,,,,,,,,,,,
NHG,H-ZLAF72,Stan,1.91082,35.237922,Schott,3.53E+00,-1.39E-02,4.09E-02,1.39E-03,-1.75E-05,6.87E-06,,1.916947,34.991,,1.9306264,,1.9044212,,1.929081183,,1.903233039,,,,,,,,,,,,,,
CDGM,H-ZLAF4LA,Pref,1.910826,35.255728,Schott,3.52E+00,-1.21E-02,4.36E-02,5.93E-04,8.41E-05,2.27E-06,,1.916949,35.013,,1.9306125,,1.9044236,,1.92906881,,1.903233547,,,,,,,,,,,,,,
HOYA,FDS24,Pref,1.921189,23.956144,Schott,3.51E+00,-1.53E-02,5.39E-02,3.49E-03,-1.80E-04,3.44E-05,,1.930242,23.765,,1.9510485,,1.9119054,,1.94865496,,1.910201133,,,,,,,,,,,,,,
NHG,H-ZF72A,Obso,1.92286,18.901688,Schott,3.51E+00,-3.87E-02,4.30E-02,1.14E-02,-1.26E-03,1.24E-04,,1.934290,18.746,,1.9611128,,1.9112737,,1.957985117,,1.909160003,,,,,,,,,,,,,,
NHG,H-ZF72,Obso,1.92286,18.901688,Schott,3.51E+00,-3.87E-02,4.30E-02,1.14E-02,-1.26E-03,1.24E-04,,1.934290,18.746,,1.9611128,,1.9112737,,1.957985117,,1.909160003,,,,,,,,,,,,,,
NHG,H-ZF62A,Obso,1.92286,20.880386,Schott,3.50E+00,-2.03E-02,5.38E-02,6.29E-03,-5.69E-04,7.36E-05,,1.933229,20.706,,1.9573762,,1.9123051,,1.95457435,,1.910376083,,,,,,,,,,,,,,
HOYA,E-FDS1-W,Pref,1.92286,20.880382,Schott,3.50E+00,-2.03E-02,5.38E-02,6.29E-03,-5.69E-04,7.36E-05,,1.933229,20.706,,1.9573762,,1.9123051,,1.954574328,,1.910376055,,,,,,,,,,,,,,
HOYA,E-FDS1,Stan,1.92286,20.880382,Schott,3.50E+00,-2.03E-02,5.38E-02,6.29E-03,-5.69E-04,7.36E-05,,1.933229,20.706,,1.9573762,,1.9123051,,1.954574328,,1.910376055,,,,,,,,,,,,,,
